Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Fmin	Fmax	Specie ID
1	Spectrogram 1	1	0.06965986394557823	0.26702947845804986	2820.849609375	3165.380859375	21.51219512195122	22050	noise
2	Spectrogram 1	1	0.26702947845804986	0.3599092970521542	17161.962890625	18023.291015625	21.51219512195122	22050	noise
3	Spectrogram 1	1	0.301859410430839	0.6501587301587302	4198.974609375	4801.904296875	21.51219512195122	22050	noise
4	Spectrogram 1	1	0.5688888888888889	0.6617687074829932	17075.830078125	17657.2265625	21.51219512195122	22050	noise
5	Spectrogram 1	1	0.905578231292517	1.0100680272108844	17161.962890625	18023.291015625	21.51219512195122	22050	noise
6	Spectrogram 1	1	1.2654875283446712	1.3583673469387756	16838.96484375	17807.958984375	21.51219512195122	22050	noise
7	Spectrogram 1	1	1.4396371882086167	1.8808163265306121	2799.31640625	3316.11328125	21.51219512195122	22050	Diasporus gularis
8	Spectrogram 1	1	1.6253968253968254	1.7298866213151927	17118.896484375	17980.224609375	21.51219512195122	22050	noise
9	Spectrogram 1	1	2.078185941043084	2.3336054421768706	4048.2421875	4737.3046875	21.51219512195122	22050	noise
10	Spectrogram 1	1	2.948934240362812	3.053424036281179	16838.96484375	18001.7578125	21.51219512195122	22050	noise
11	Spectrogram 1	1	3.2624036281179136	3.3668934240362813	17398.828125	17872.55859375	21.51219512195122	22050	noise
12	Spectrogram 1	1	3.4713832199546486	3.575873015873016	17420.361328125	18044.82421875	21.51219512195122	22050	noise
13	Spectrogram 1	1	4.330521541950113	4.667210884353741	2820.849609375	3359.1796875	21.51219512195122	22050	Diasporus gularis
14	Spectrogram 1	1	4.934240362811791	5.038730158730159	17205.029296875	17829.4921875	21.51219512195122	22050	noise
15	Spectrogram 1	1	5.259319727891157	5.363809523809524	17140.4296875	17807.958984375	21.51219512195122	22050	noise
16	Spectrogram 1	1	5.561179138321996	5.6540589569161	17075.830078125	18044.82421875	21.51219512195122	22050	noise
17	Spectrogram 1	1	6.280997732426304	6.397097505668934	9517.67578125	9948.33984375	21.51219512195122	22050	noise
18	Spectrogram 1	1	6.849886621315193	6.965986394557823	17183.49609375	18066.357421875	21.51219512195122	22050	noise
19	Spectrogram 1	1	6.942766439909297	7.360725623582766	2756.25	3316.11328125	21.51219512195122	22050	Diasporus gularis
20	Spectrogram 1	1	7.151746031746032	7.349115646258503	64.599609375	344.53125	21.51219512195122	22050	noise
21	Spectrogram 1	1	7.163356009070295	7.279455782312925	17269.62890625	18044.82421875	21.51219512195122	22050	noise
22	Spectrogram 1	1	8.092154195011338	8.208253968253969	17118.896484375	17807.958984375	21.51219512195122	22050	noise
23	Spectrogram 1	1	8.277913832199546	8.52172335600907	2799.31640625	3186.9140625	21.51219512195122	22050	noise
24	Spectrogram 1	1	9.079002267573696	9.206712018140589	7838.0859375	8441.015625	21.51219512195122	22050	noise
25	Spectrogram 1	1	9.09061224489796	9.195102040816327	17032.763671875	17743.359375	21.51219512195122	22050	noise
26	Spectrogram 1	1	9.404081632653062	9.485351473922902	17484.9609375	18023.291015625	21.51219512195122	22050	noise
27	Spectrogram 1	1	9.717551020408163	9.833650793650794	17097.36328125	17807.958984375	21.51219512195122	22050	noise
28	Spectrogram 1	1	9.914920634920636	10.251609977324263	2842.3828125	3337.646484375	21.51219512195122	22050	Diasporus gularis
29	Spectrogram 1	1	10.135510204081633	10.27482993197279	10895.80078125	11240.33203125	21.51219512195122	22050	noise
30	Spectrogram 1	1	10.634739229024943	10.820498866213152	10745.068359375	11111.1328125	21.51219512195122	22050	noise
31	Spectrogram 1	1	10.65795918367347	10.762448979591836	17441.89453125	18044.82421875	21.51219512195122	22050	noise
32	Spectrogram 1	1	10.983038548752834	11.075918367346938	17118.896484375	17829.4921875	21.51219512195122	22050	noise
33	Spectrogram 1	1	11.04108843537415	11.354557823129252	11972.4609375	12790.72265625	21.51219512195122	22050	noise
34	Spectrogram 1	1	11.331337868480725	11.42421768707483	17312.6953125	18023.291015625	21.51219512195122	22050	noise
35	Spectrogram 1	1	12.027936507936507	12.213696145124716	14642.578125	14944.04296875	21.51219512195122	22050	noise
36	Spectrogram 1	1	12.248526077097505	12.45750566893424	10572.802734375	11132.666015625	21.51219512195122	22050	noise
37	Spectrogram 1	1	12.515555555555556	12.736145124716554	13135.25390625	13501.318359375	21.51219512195122	22050	noise
38	Spectrogram 1	1	12.863854875283447	12.968344671201814	17398.828125	17915.625	21.51219512195122	22050	noise
39	Spectrogram 1	1	12.945124716553288	13.467573696145125	14534.912109375	15697.705078125	21.51219512195122	22050	noise
