Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Fmin	Fmax	Specie ID
1	Spectrogram 1	1	0.2089795918367347	0.8823582766439909	1636.5234375	4737.3046875	21.51219512195122	22050	noise
2	Spectrogram 1	1	0.34829931972789113	0.592108843537415	4737.3046875	5340.234375	21.51219512195122	22050	noise
3	Spectrogram 1	1	0.9636281179138322	1.6834467120181407	1744.189453125	3014.6484375	21.51219512195122	22050	noise
4	Spectrogram 1	1	1.1609977324263039	1.2887074829931973	4328.173828125	4758.837890625	21.51219512195122	22050	Hyloxalus
5	Spectrogram 1	1	1.2887074829931973	1.5673469387755101	3574.51171875	4414.306640625	21.51219512195122	22050	noise
6	Spectrogram 1	1	1.3351473922902495	1.5789569160997732	4823.4375	5512.5	21.51219512195122	22050	noise
7	Spectrogram 1	1	1.6370068027210884	1.7647165532879818	4306.640625	4715.771484375	21.51219512195122	22050	Hyloxalus
8	Spectrogram 1	1	1.7763265306122449	2.48453514739229	1679.58984375	3143.84765625	21.51219512195122	22050	noise
9	Spectrogram 1	1	2.2755555555555556	2.449705215419501	6459.9609375	7321.2890625	21.51219512195122	22050	noise
10	Spectrogram 1	1	2.380045351473923	2.8792743764172335	6761.42578125	7945.751953125	21.51219512195122	22050	noise
11	Spectrogram 1	1	2.6354648526077096	2.9605442176870747	2024.12109375	3316.11328125	21.51219512195122	22050	noise
12	Spectrogram 1	1	2.6586848072562357	2.9837641723356008	3466.845703125	4694.23828125	21.51219512195122	22050	noise
13	Spectrogram 1	1	2.681904761904762	2.8908843537414968	4844.970703125	5469.43359375	21.51219512195122	22050	noise
14	Spectrogram 1	1	2.972154195011338	3.378503401360544	1550.390625	2583.984375	21.51219512195122	22050	noise
15	Spectrogram 1	1	3.1579138321995464	3.5526530612244898	2799.31640625	4715.771484375	21.51219512195122	22050	noise
16	Spectrogram 1	1	3.4946031746031747	3.889342403628118	3445.3125	4478.90625	21.51219512195122	22050	noise
17	Spectrogram 1	1	3.610702947845805	3.900952380952381	4823.4375	5426.3671875	21.51219512195122	22050	noise
18	Spectrogram 1	1	3.842902494331066	4.1099319727891155	1830.322265625	2411.71875	21.51219512195122	22050	noise
19	Spectrogram 1	1	4.342131519274377	4.667210884353741	2002.587890625	2906.982421875	21.51219512195122	22050	noise
20	Spectrogram 1	1	4.446621315192743	4.574331065759637	4349.70703125	4737.3046875	21.51219512195122	22050	Hyloxalus
21	Spectrogram 1	1	4.713650793650793	5.027120181405896	1808.7890625	2390.185546875	21.51219512195122	22050	noise
22	Spectrogram 1	1	4.992290249433107	5.259319727891157	4801.904296875	5490.966796875	21.51219512195122	22050	noise
23	Spectrogram 1	1	4.992290249433107	5.189659863945578	3057.71484375	3466.845703125	21.51219512195122	22050	noise
24	Spectrogram 1	1	5.00390022675737	5.328979591836735	3574.51171875	4392.7734375	21.51219512195122	22050	noise
25	Spectrogram 1	1	5.23609977324263	5.955918367346939	1636.5234375	2993.115234375	21.51219512195122	22050	noise
26	Spectrogram 1	1	6.15328798185941	6.8382766439909295	1658.056640625	4758.837890625	21.51219512195122	22050	noise
27	Spectrogram 1	1	6.466757369614513	6.698956916099773	4737.3046875	5340.234375	21.51219512195122	22050	noise
28	Spectrogram 1	1	7.058866213151927	7.349115646258503	2002.587890625	2713.18359375	21.51219512195122	22050	noise
29	Spectrogram 1	1	7.592925170068027	7.859954648526077	3466.845703125	4435.83984375	21.51219512195122	22050	noise
30	Spectrogram 1	1	8.684263038548753	8.800362811791382	1098.193359375	1636.5234375	21.51219512195122	22050	noise
31	Spectrogram 1	1	8.916462585034013	9.160272108843538	4801.904296875	5490.966796875	21.51219512195122	22050	noise
32	Spectrogram 1	1	8.916462585034013	9.287981859410431	3531.4453125	4737.3046875	21.51219512195122	22050	noise
33	Spectrogram 1	1	11.19201814058957	11.911836734693878	2433.251953125	2906.982421875	21.51219512195122	22050	noise
34	Spectrogram 1	1	12.26013605442177	12.654875283446712	3380.712890625	5383.30078125	21.51219512195122	22050	Ramphocelus dimidiatus
35	Spectrogram 1	1	13.40952380952381	13.630113378684808	3574.51171875	4435.83984375	21.51219512195122	22050	noise
36	Spectrogram 1	1	13.432743764172336	13.64172335600907	4780.37109375	5318.701171875	21.51219512195122	22050	noise
37	Spectrogram 1	1	13.676553287981859	13.850702947845805	4242.041015625	4758.837890625	21.51219512195122	22050	Hyloxalus
38	Spectrogram 1	1	15.17424036281179	15.615419501133786	3509.912109375	4758.837890625	21.51219512195122	22050	noise
39	Spectrogram 1	1	15.27873015873016	15.522539682539682	4758.837890625	5469.43359375	21.51219512195122	22050	noise
40	Spectrogram 1	1	15.568979591836735	15.81278911564626	2540.91796875	2842.3828125	21.51219512195122	22050	noise
41	Spectrogram 1	1	16.70675736961451	16.92734693877551	4134.375	4758.837890625	21.51219512195122	22050	Hyloxalus
42	Spectrogram 1	1	17.055056689342404	17.507845804988662	3531.4453125	5620.166015625	21.51219512195122	22050	Ramphocelus dimidiatus
43	Spectrogram 1	1	18.5643537414966	18.982312925170067	3466.845703125	5490.966796875	21.51219512195122	22050	noise
44	Spectrogram 1	1	18.854603174603174	19.005532879818595	1830.322265625	2347.119140625	21.51219512195122	22050	noise
45	Spectrogram 1	1	19.191292517006804	19.30739229024943	4328.173828125	4737.3046875	21.51219512195122	22050	noise
46	Spectrogram 1	1	19.9459410430839	20.24780045351474	4737.3046875	5340.234375	21.51219512195122	22050	noise
47	Spectrogram 1	1	20.491609977324263	20.874739229024943	6072.36328125	10142.138671875	21.51219512195122	22050	ramphocelus dimidiatus 2
48	Spectrogram 1	1	20.619319727891156	20.851519274376418	3509.912109375	5577.099609375	21.51219512195122	22050	noise
49	Spectrogram 1	1	22.244716553287983	22.453696145124717	4629.638671875	5534.033203125	21.51219512195122	22050	noise
50	Spectrogram 1	1	22.256326530612245	22.511746031746032	3854.443359375	4500.439453125	21.51219512195122	22050	noise
51	Spectrogram 1	1	22.813605442176872	22.976145124716552	8613.28125	9603.80859375	21.51219512195122	22050	noise
52	Spectrogram 1	1	22.825215419501134	22.987755102040815	6524.560546875	8484.08203125	21.51219512195122	22050	noise
53	Spectrogram 1	1	24.021043083900228	24.253242630385486	3531.4453125	4392.7734375	21.51219512195122	22050	noise
54	Spectrogram 1	1	24.044263038548753	24.264852607709752	4780.37109375	5534.033203125	21.51219512195122	22050	noise
55	Spectrogram 1	1	24.647981859410432	24.90340136054422	3143.84765625	3639.111328125	21.51219512195122	22050	noise
56	Spectrogram 1	1	25.658049886621317	26.505578231292517	1528.857421875	5598.6328125	21.51219512195122	22050	Ramphocelus dimidiatus
57	Spectrogram 1	1	25.855419501133788	26.01795918367347	9173.14453125	9948.33984375	21.51219512195122	22050	noise
58	Spectrogram 1	1	25.878639455782313	26.076009070294784	7041.357421875	9065.478515625	21.51219512195122	22050	noise
59	Spectrogram 1	1	26.865487528344673	27.190566893424037	3832.91015625	4392.7734375	21.51219512195122	22050	Hyloxalus
60	Spectrogram 1	1	26.969977324263038	27.155736961451247	2239.453125	2670.1171875	21.51219512195122	22050	noise
61	Spectrogram 1	1	27.445986394557824	28.2702947845805	1528.857421875	5749.365234375	21.51219512195122	22050	Ramphocelus dimidiatus
62	Spectrogram 1	1	27.55047619047619	27.736235827664398	6201.5625	7062.890625	21.51219512195122	22050	noise
63	Spectrogram 1	1	27.573696145124718	27.68979591836735	10572.802734375	11154.19921875	21.51219512195122	22050	noise
64	Spectrogram 1	1	27.58530612244898	27.724625850340136	9410.009765625	9883.740234375	21.51219512195122	22050	noise
65	Spectrogram 1	1	27.58530612244898	27.713015873015873	7924.21875	8677.880859375	21.51219512195122	22050	noise
66	Spectrogram 1	1	27.596916099773242	27.70140589569161	8785.546875	9323.876953125	21.51219512195122	22050	noise
67	Spectrogram 1	1	27.945215419501135	28.16580498866213	4758.837890625	5340.234375	21.51219512195122	22050	noise
68	Spectrogram 1	1	28.107755102040816	28.281904761904762	2217.919921875	2756.25	21.51219512195122	22050	noise
69	Spectrogram 1	1	28.595374149659865	28.85079365079365	4048.2421875	4651.171875	21.51219512195122	22050	Hyloxalus
70	Spectrogram 1	1	29.059773242630385	29.466122448979593	3488.37890625	4651.171875	21.51219512195122	22050	noise
71	Spectrogram 1	1	29.814421768707483	29.98857142857143	7622.75390625	8139.55078125	21.51219512195122	22050	noise
72	Spectrogram 1	1	29.8724716553288	30.313650793650794	3574.51171875	4758.837890625	21.51219512195122	22050	noise
73	Spectrogram 1	1	30.10467120181406	30.29043083900227	4801.904296875	5534.033203125	21.51219512195122	22050	noise
74	Spectrogram 1	1	30.499410430839003	30.72	4155.908203125	4844.970703125	21.51219512195122	22050	Hyloxalus
75	Spectrogram 1	1	30.661950113378683	31.091519274376417	2906.982421875	3639.111328125	21.51219512195122	22050	Pitangus sulphuratus
76	Spectrogram 1	1	30.894149659863945	31.265668934240363	4026.708984375	5383.30078125	21.51219512195122	22050	noise
77	Spectrogram 1	1	30.95219954648526	31.079909297052154	1141.259765625	1937.98828125	21.51219512195122	22050	noise
78	Spectrogram 1	1	31.43981859410431	31.63718820861678	2605.517578125	3251.513671875	21.51219512195122	22050	noise
79	Spectrogram 1	1	31.613968253968252	31.880997732426305	3509.912109375	5641.69921875	21.51219512195122	22050	noise
80	Spectrogram 1	1	32.07836734693878	32.496326530612244	1507.32421875	8397.94921875	21.51219512195122	22050	Ramphocelus dimidiatus
81	Spectrogram 1	1	32.124807256235826	32.287346938775514	8634.814453125	10056.005859375	21.51219512195122	22050	noise
82	Spectrogram 1	1	32.670476190476194	32.879455782312924	4005.17578125	4844.970703125	21.51219512195122	22050	Hyloxalus
83	Spectrogram 1	1	33.00716553287982	33.448344671201816	3359.1796875	4866.50390625	21.51219512195122	22050	noise
84	Spectrogram 1	1	33.761814058956915	33.97079365079365	4069.775390625	4866.50390625	21.51219512195122	22050	Hyloxalus
85	Spectrogram 1	1	34.307482993197276	34.5512925170068	4091.30859375	4888.037109375	21.51219512195122	22050	Hyloxalus
86	Spectrogram 1	1	34.76027210884354	35.236281179138324	1528.857421875	5727.83203125	21.51219512195122	22050	Ramphocelus dimidiatus
87	Spectrogram 1	1	34.7718820861678	34.98086167800454	5857.03125	11025.0	21.51219512195122	22050	ramphocelus dimidiatus 2
88	Spectrogram 1	1	35.294331065759636	35.677460317460316	3919.04296875	5383.30078125	21.51219512195122	22050	noise
89	Spectrogram 1	1	35.77034013605442	36.014149659863946	4069.775390625	4909.5703125	21.51219512195122	22050	Hyloxalus
90	Spectrogram 1	1	35.92126984126984	36.39727891156463	2325.5859375	3122.314453125	21.51219512195122	22050	noise
91	Spectrogram 1	1	36.22312925170068	36.52498866213152	3380.712890625	5017.236328125	21.51219512195122	22050	Hyloxalus
92	Spectrogram 1	1	36.73396825396826	37.000997732426306	3682.177734375	5770.8984375	21.51219512195122	22050	noise
93	Spectrogram 1	1	36.95455782312925	37.11709750566894	1959.521484375	2476.318359375	21.51219512195122	22050	noise
94	Spectrogram 1	1	37.314467120181405	37.488616780045355	7622.75390625	8139.55078125	21.51219512195122	22050	noise
95	Spectrogram 1	1	37.314467120181405	37.54666666666667	4048.2421875	4909.5703125	21.51219512195122	22050	Hyloxalus
96	Spectrogram 1	1	37.74403628117914	37.964625850340134	4069.775390625	4931.103515625	21.51219512195122	22050	Hyloxalus
97	Spectrogram 1	1	38.22004535147392	38.69605442176871	4026.708984375	12252.392578125	21.51219512195122	22050	Ramphocelus dimidiatus
98	Spectrogram 1	1	38.301315192743765	38.42902494331066	17441.89453125	18992.28515625	21.51219512195122	22050	noise
99	Spectrogram 1	1	38.800544217687076	39.03274376417234	4091.30859375	4866.50390625	21.51219512195122	22050	Hyloxalus
100	Spectrogram 1	1	39.230113378684806	39.671292517006805	1593.45703125	5706.298828125	21.51219512195122	22050	Ramphocelus dimidiatus
101	Spectrogram 1	1	39.25333333333333	39.381043083900224	6438.427734375	6912.158203125	21.51219512195122	22050	noise
102	Spectrogram 1	1	39.2649433106576	39.404263038548756	6998.291015625	7665.8203125	21.51219512195122	22050	noise
103	Spectrogram 1	1	39.27655328798186	39.39265306122449	8139.55078125	8807.080078125	21.51219512195122	22050	noise
104	Spectrogram 1	1	39.82222222222222	40.06603174603175	4048.2421875	4888.037109375	21.51219512195122	22050	Hyloxalus
105	Spectrogram 1	1	40.321451247165534	40.66975056689343	3660.64453125	4844.970703125	21.51219512195122	22050	noise
106	Spectrogram 1	1	40.739410430839	40.983219954648526	3962.109375	4844.970703125	21.51219512195122	22050	Hyloxalus
107	Spectrogram 1	1	41.180589569161	41.424399092970525	3897.509765625	5060.302734375	21.51219512195122	22050	Hyloxalus
108	Spectrogram 1	1	41.633378684807255	42.3415873015873	1571.923828125	7773.486328125	21.51219512195122	22050	Ramphocelus dimidiatus
109	Spectrogram 1	1	41.76108843537415	41.9352380952381	8074.951171875	10249.8046875	21.51219512195122	22050	ramphocelus dimidiatus 2
110	Spectrogram 1	1	42.36480725623583	42.67827664399093	3165.380859375	3639.111328125	21.51219512195122	22050	noise
111	Spectrogram 1	1	42.55056689342403	42.77115646258503	4112.841796875	4866.50390625	21.51219512195122	22050	Hyloxalus
112	Spectrogram 1	1	43.03818594104308	43.4097052154195	3445.3125	5211.03515625	21.51219512195122	22050	noise
113	Spectrogram 1	1	43.46775510204082	43.723174603174606	4069.775390625	4888.037109375	21.51219512195122	22050	Hyloxalus
114	Spectrogram 1	1	44.09469387755102	44.35011337868481	4048.2421875	4780.37109375	21.51219512195122	22050	Hyloxalus
115	Spectrogram 1	1	44.54748299319728	45.302131519274376	1507.32421875	5684.765625	21.51219512195122	22050	Ramphocelus dimidiatus
116	Spectrogram 1	1	44.640362811791384	44.76807256235828	6395.361328125	7149.0234375	21.51219512195122	22050	noise
117	Spectrogram 1	1	45.47628117913832	45.72009070294784	4069.775390625	4844.970703125	21.51219512195122	22050	Hyloxalus
118	Spectrogram 1	1	45.92907029478458	46.172879818594105	4026.708984375	4866.50390625	21.51219512195122	22050	Hyloxalus
119	Spectrogram 1	1	46.38185941043084	46.63727891156463	4005.17578125	4909.5703125	21.51219512195122	22050	Hyloxalus
120	Spectrogram 1	1	46.85786848072562	47.62412698412698	1507.32421875	5598.6328125	21.51219512195122	22050	Ramphocelus dimidiatus
121	Spectrogram 1	1	46.90430839002268	47.07845804988662	6223.095703125	7213.623046875	21.51219512195122	22050	noise
