File	Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Original Index	review	type	Reason	offset
JAGUAS253_20121114_080107.wav	1	Spectrogram 1	1	Coereba flaveola	0.46439909297052157	1.8343764172335602	5835.498046875	10034.47265625	3	0			0
JAGUAS253_20121114_080107.wav	2	Spectrogram 1	1	Leptopogon superciliaris	2.159455782312925	2.5193650793650795	2950.048828125	5297.16796875	8	1			0
JAGUAS253_20121114_080107.wav	3	Spectrogram 1	1	Hyloxalus	3.842902494331066	4.028662131519274	4155.908203125	4435.83984375	11	0			0
JAGUAS253_20121114_080107.wav	4	Spectrogram 1	1	Leptopogon superciliaris	6.8382766439909295	7.349115646258503	2971.58203125	5404.833984375	18	0			0
JAGUAS253_20121114_080107.wav	5	Spectrogram 1	1	Hyloxalus	7.3723356009070296	7.697414965986394	4091.30859375	4457.373046875	19	0			0
JAGUAS253_20121114_080107.wav	6	Spectrogram 1	1	Hyloxalus	8.126984126984127	8.370793650793651	4155.908203125	4586.572265625	20	0			0
JAGUAS253_20121114_080107.wav	7	Spectrogram 1	1	Hyloxalus	8.568163265306122	8.962902494331066	4134.375	4629.638671875	22	0			0
JAGUAS253_20121114_080107.wav	8	Spectrogram 1	1	Hyloxalus	9.287981859410431	9.543401360544218	4112.841796875	4672.705078125	23	0			0
JAGUAS253_20121114_080107.wav	9	Spectrogram 1	1	Hyloxalus	10.437369614512471	10.681179138321996	4112.841796875	4715.771484375	24	0			0
JAGUAS253_20121114_080107.wav	10	Spectrogram 1	1	Hyloxalus	10.95981859410431	11.215238095238096	4134.375	4715.771484375	25	0			0
JAGUAS253_20121114_080107.wav	11	Spectrogram 1	1	Hyloxalus	11.459047619047618	11.749297052154194	4155.908203125	4715.771484375	26	0			0
JAGUAS253_20121114_080107.wav	12	Spectrogram 1	1	Hyloxalus	11.969886621315192	12.213696145124716	4242.041015625	4758.837890625	28	0			0
JAGUAS253_20121114_080107.wav	13	Spectrogram 1	1	Hyloxalus	12.445895691609977	12.712925170068027	4112.841796875	4737.3046875	30	0			0
JAGUAS253_20121114_080107.wav	14	Spectrogram 1	1	Hyloxalus	12.921904761904761	13.223764172335601	4134.375	4758.837890625	31	0			0
JAGUAS253_20121114_080107.wav	15	Spectrogram 1	1	Leptopogon superciliaris	13.444353741496599	13.931972789115646	2993.115234375	5232.568359375	32	0			0
JAGUAS253_20121114_080107.wav	16	Spectrogram 1	1	Hyloxalus	14.431201814058957	14.686621315192744	4263.57421875	4801.904296875	33	0			0
JAGUAS253_20121114_080107.wav	17	Spectrogram 1	1	Hyloxalus	14.814331065759637	15.17424036281179	4112.841796875	4823.4375	34	0			0
JAGUAS253_20121114_080107.wav	18	Spectrogram 1	1	Hyloxalus	15.418049886621315	15.673469387755102	4112.841796875	4823.4375	35	0			0
JAGUAS253_20121114_080107.wav	19	Spectrogram 1	1	Hyloxalus	15.882448979591837	16.149478458049888	4263.57421875	4909.5703125	36	0			0
JAGUAS253_20121114_080107.wav	20	Spectrogram 1	1	Hyloxalus	16.34684807256236	16.62548752834467	4198.974609375	4844.970703125	37	0			0
JAGUAS253_20121114_080107.wav	21	Spectrogram 1	1	Hyloxalus	16.579047619047618	16.69514739229025	9926.806640625	10486.669921875	39	1			0
JAGUAS253_20121114_080107.wav	22	Spectrogram 1	1	Hyloxalus	16.764807256235827	17.101496598639457	4134.375	4823.4375	40	0			0
JAGUAS253_20121114_080107.wav	23	Spectrogram 1	1	Hyloxalus	17.79809523809524	18.053514739229026	4134.375	4844.970703125	44	0			0
JAGUAS253_20121114_080107.wav	24	Spectrogram 1	1	Hyloxalus	18.274104308390022	18.552743764172334	4112.841796875	4823.4375	45	0			0
JAGUAS253_20121114_080107.wav	25	Spectrogram 1	1	Hyloxalus	18.76172335600907	19.02875283446712	4155.908203125	4780.37109375	46	0			0
JAGUAS253_20121114_080107.wav	26	Spectrogram 1	1	Hyloxalus	19.260952380952382	19.620861678004534	4069.775390625	4823.4375	47	0			0
JAGUAS253_20121114_080107.wav	27	Spectrogram 1	1	Hyloxalus	19.748571428571427	20.003990929705214	4242.041015625	4801.904296875	49	0			0
