Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Specie ID	Score
1	Spectrogram 1	1	0.4	2.398999999999995	400.0	3100.0	DDPX	0.93
2	Spectrogram 1	1	11.2	13.199000000000025	400.0	3100.0	DDPX	0.94
3	Spectrogram 1	1	29.6	31.599	400.0	3100.0	DDPX	0.77
4	Spectrogram 1	1	35.6	37.599	400.0	3100.0	DDPX	0.92
5	Spectrogram 1	1	37.2	39.19900000000003	400.0	3100.0	DDPX	0.91
6	Spectrogram 1	1	38.8	40.79899999999999	400.0	3100.0	DDPX	0.93
7	Spectrogram 1	1	49.6	53.19900000000002	400.0	3100.0	DDPX	0.99
8	Spectrogram 1	1	1.2	3.199000000000024	200.0	1000.0	PTGN	0.87
9	Spectrogram 1	1	23.6	25.999	200.0	1000.0	PTGN	0.97
10	Spectrogram 1	1	25.6	27.999	200.0	1000.0	PTGN	0.98
