Selection	View	Channel	Specie ID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Original Index	review
1	Spectrogram 1	1	Leptodactylus_fuscus	7.6	9.59900000000025	7.6	3000	1148	0
2	Spectrogram 1	1	Leptodactylus_fuscus	10.0	12.398999999999887	10.0	3000	1149	0
3	Spectrogram 1	1	Leptodactylus_fuscus	11.2	13.19900000000025	11.2	3000	1150	0
4	Spectrogram 1	1	Leptodactylus_fuscus	4.8	6.798999999999796	4.8	3000	1146	0
5	Spectrogram 1	1	Leptodactylus_fuscus	36.8	38.79899999999979	36.8	3000	1152	0
6	Spectrogram 1	1	Leptodactylus_fuscus	50.8	53.198999999999884	50.8	3000	1153	0
7	Spectrogram 1	1	Leptodactylus_fuscus	36.0	37.998999999999796	36.0	3000	1151	1
8	Spectrogram 1	1	Dendropsophus_microcephalus	37.6	39.999000000000116	37.6	7200	517	1
9	Spectrogram 1	1	Dendropsophus_microcephalus	38.8	41.598999999999975	38.8	7200	518	0
10	Spectrogram 1	1	Leptodactylus_fuscus	5.6	7.599000000000251	5.6	3000	1147	0
11	Spectrogram 1	1	Dendropsophus_microcephalus	36.4	38.798999999999886	36.4	7200	516	0
