Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.010666667	0.181333333	3984.375	4757.812	4312.500	Leptodactylus_fuscus
2	Spectrogram 1	1	0.896000000	1.109333333	3750.000	4617.188	4031.250	Leptodactylus_fuscus
3	Spectrogram 1	1	1.301333333	1.429333333	10218.750	12046.875	10406.250	
4	Spectrogram 1	1	2.197333333	2.474666667	1945.312	2906.250	1968.750	
5	Spectrogram 1	1	2.261333333	2.677333333	3750.000	4828.125	4312.500	Leptodactylus_fuscus
6	Spectrogram 1	1	2.560000000	2.997333333	2343.750	3656.250	2906.250	
7	Spectrogram 1	1	3.061333333	3.296000000	3703.125	4804.688	3937.500	Leptodactylus_fuscus
8	Spectrogram 1	1	3.221333333	3.349333333	10289.062	11226.562	10406.250	
9	Spectrogram 1	1	3.221333333	3.370666667	8179.688	9187.500	8718.750	
10	Spectrogram 1	1	3.872000000	4.138666667	4453.125	5906.250	5812.500	
11	Spectrogram 1	1	4.192000000	4.394666667	2109.375	2976.562	2718.750	
12	Spectrogram 1	1	4.650666667	5.077333333	3773.438	5296.875	4312.500	Leptodactylus_fuscus
13	Spectrogram 1	1	5.525333333	5.888000000	3632.812	4781.250	3937.500	Leptodactylus_fuscus
14	Spectrogram 1	1	5.536000000	5.674666667	10312.500	11273.438	10312.500	
15	Spectrogram 1	1	6.026666667	6.837333333	187.500	5835.938	468.750	Patagioenas_cayennensis
16	Spectrogram 1	1	6.645333333	6.858666667	4312.500	5929.688	5812.500	
17	Spectrogram 1	1	7.114666667	7.381333333	3867.188	4875.000	4312.500	Leptodactylus_fuscus
18	Spectrogram 1	1	7.146666667	7.648000000	1804.688	3281.250	2437.500	
19	Spectrogram 1	1	7.637333333	7.861333333	3750.000	4687.500	3937.500	Leptodactylus_fuscus
20	Spectrogram 1	1	8.053333333	8.384000000	2718.750	3515.625	3468.750	
21	Spectrogram 1	1	8.245333333	8.896000000	8062.500	8648.438	8343.750	
22	Spectrogram 1	1	8.650666667	9.152000000	2132.812	3046.875	2437.500	
23	Spectrogram 1	1	8.725333333	8.842666667	5343.750	5953.125	5812.500	
24	Spectrogram 1	1	9.120000000	9.354666667	3867.188	4781.250	4312.500	Leptodactylus_fuscus
25	Spectrogram 1	1	9.792000000	10.026666667	3750.000	4640.625	3937.500	Leptodactylus_fuscus
26	Spectrogram 1	1	9.941333333	10.112000000	10242.188	12117.188	10875.000	
27	Spectrogram 1	1	9.952000000	10.080000000	8226.562	8789.062	8343.750	
28	Spectrogram 1	1	11.264000000	11.488000000	4031.250	4781.250	4312.500	Leptodactylus_fuscus
29	Spectrogram 1	1	11.936000000	12.160000000	3703.125	4710.938	3937.500	Leptodactylus_fuscus
30	Spectrogram 1	1	12.170666667	12.298666667	10242.188	11226.562	10312.500	
31	Spectrogram 1	1	12.469333333	13.290666667	8132.812	8601.562	8437.500	
32	Spectrogram 1	1	12.693333333	13.120000000	1804.688	3609.375	2062.500	
33	Spectrogram 1	1	13.546666667	13.792000000	3984.375	4734.375	4312.500	Leptodactylus_fuscus
34	Spectrogram 1	1	13.920000000	14.016000000	10242.188	11015.625	10312.500	
35	Spectrogram 1	1	14.176000000	14.400000000	3773.438	4734.375	3937.500	Leptodactylus_fuscus
36	Spectrogram 1	1	15.712000000	16.000000000	3843.750	4804.688	4312.500	Leptodactylus_fuscus
37	Spectrogram 1	1	15.744000000	15.946666667	2578.125	3000.000	2812.500	
38	Spectrogram 1	1	16.160000000	16.320000000	9960.938	12304.688	10312.500	
39	Spectrogram 1	1	16.576000000	16.789333333	3750.000	4687.500	3937.500	Leptodactylus_fuscus
40	Spectrogram 1	1	17.088000000	17.194666667	3117.188	3585.938	3281.250	
41	Spectrogram 1	1	17.408000000	17.514666667	4734.375	5484.375	5437.500	
42	Spectrogram 1	1	17.973333333	18.218666667	3984.375	4804.688	4312.500	Leptodactylus_fuscus
43	Spectrogram 1	1	18.240000000	19.157333333	7828.125	8742.188	8156.250	
44	Spectrogram 1	1	18.410666667	18.570666667	9984.375	12656.250	10218.750	
45	Spectrogram 1	1	18.805333333	19.061333333	3703.125	4640.625	4031.250	Leptodactylus_fuscus
46	Spectrogram 1	1	18.922666667	19.274666667	1851.562	3539.062	2437.500	
47	Spectrogram 1	1	19.413333333	19.658666667	3375.000	4359.375	4031.250	
48	Spectrogram 1	1	19.562666667	19.765333333	1687.500	3187.500	2250.000	
49	Spectrogram 1	1	19.733333333	19.882666667	3000.000	3562.500	3187.500	
50	Spectrogram 1	1	20.106666667	20.352000000	3960.938	4734.375	4312.500	Leptodactylus_fuscus
51	Spectrogram 1	1	20.256000000	20.661333333	7898.438	9421.875	8156.250	
52	Spectrogram 1	1	20.512000000	20.789333333	10007.812	12070.312	11062.500	
53	Spectrogram 1	1	20.512000000	20.597333333	4382.812	5835.938	4968.750	
54	Spectrogram 1	1	20.853333333	21.045333333	3046.875	3867.188	3843.750	
55	Spectrogram 1	1	21.408000000	21.696000000	281.250	5789.062	937.500	
56	Spectrogram 1	1	21.770666667	22.645333333	492.188	5859.375	562.500	Patagioenas_cayennensis
57	Spectrogram 1	1	22.549333333	22.730666667	9984.375	12210.938	10218.750	
58	Spectrogram 1	1	22.560000000	22.688000000	8156.250	9023.438	8343.750	
59	Spectrogram 1	1	22.762666667	23.157333333	3937.500	4898.438	4312.500	Leptodactylus_fuscus
60	Spectrogram 1	1	23.509333333	24.266666667	7851.562	8578.125	8156.250	
61	Spectrogram 1	1	23.829333333	24.256000000	3726.562	4945.312	3937.500	
62	Spectrogram 1	1	24.426666667	24.608000000	3609.375	3984.375	3843.750	
63	Spectrogram 1	1	24.426666667	24.906666667	1289.062	2039.062	1968.750	
64	Spectrogram 1	1	24.821333333	25.152000000	3023.438	3679.688	3281.250	
65	Spectrogram 1	1	24.832000000	25.034666667	10054.688	11906.250	10312.500	Leptodactylus_fuscus
66	Spectrogram 1	1	24.832000000	25.013333333	7898.438	9187.500	8062.500	
67	Spectrogram 1	1	24.832000000	25.301333333	3867.188	4898.438	4312.500	Leptodactylus_fuscus
68	Spectrogram 1	1	25.354666667	25.994666667	1781.250	3750.000	2250.000	
69	Spectrogram 1	1	26.080000000	26.400000000	3750.000	4640.625	3937.500	Leptodactylus_fuscus
70	Spectrogram 1	1	26.400000000	26.634666667	1101.562	1500.000	1406.250	
71	Spectrogram 1	1	26.496000000	27.392000000	2250.000	4734.375	4312.500	
72	Spectrogram 1	1	26.997333333	27.189333333	10382.812	11929.688	11062.500	
73	Spectrogram 1	1	26.997333333	27.157333333	8015.625	8906.250	8343.750	
74	Spectrogram 1	1	27.018666667	27.104000000	9515.625	10054.688	9937.500	
75	Spectrogram 1	1	27.530666667	28.160000000	375.000	703.125	468.750	Patagioenas_cayennensis
76	Spectrogram 1	1	27.637333333	28.000000000	3093.750	4031.250	3187.500	
77	Spectrogram 1	1	28.298666667	28.554666667	3750.000	4687.500	3937.500	Leptodactylus_fuscus
78	Spectrogram 1	1	28.917333333	29.045333333	3093.750	3585.938	3281.250	
79	Spectrogram 1	1	29.162666667	29.376000000	10195.312	11906.250	11062.500	
80	Spectrogram 1	1	29.173333333	29.290666667	8343.750	9070.312	8625.000	
81	Spectrogram 1	1	29.525333333	30.037333333	3960.938	4828.125	4312.500	Leptodactylus_fuscus
82	Spectrogram 1	1	30.357333333	30.538666667	3492.188	4195.312	3843.750	
83	Spectrogram 1	1	30.720000000	32.021333333	1804.688	5742.188	4500.000	
84	Spectrogram 1	1	30.805333333	30.922666667	1453.125	2179.688	1875.000	
85	Spectrogram 1	1	31.157333333	31.413333333	1171.875	1593.750	1500.000	
86	Spectrogram 1	1	31.541333333	31.744000000	10476.562	11531.250	11250.000	
87	Spectrogram 1	1	32.106666667	32.426666667	4335.938	5250.000	4968.750	
88	Spectrogram 1	1	32.341333333	32.469333333	3070.312	3632.812	3562.500	
89	Spectrogram 1	1	32.778666667	33.120000000	539.062	843.750	656.250	Patagioenas_cayennensis
90	Spectrogram 1	1	32.821333333	33.269333333	3703.125	5320.312	3937.500	Leptodactylus_fuscus
91	Spectrogram 1	1	33.269333333	33.930666667	7851.562	8367.188	8062.500	
92	Spectrogram 1	1	33.600000000	34.197333333	3960.938	5343.750	4312.500	Leptodactylus_fuscus
93	Spectrogram 1	1	34.304000000	34.826666667	398.438	796.875	562.500	Patagioenas_cayennensis
94	Spectrogram 1	1	34.336000000	34.794666667	4781.250	5343.750	5062.500	
95	Spectrogram 1	1	34.400000000	34.602666667	10218.750	12117.188	11062.500	
96	Spectrogram 1	1	34.410666667	34.634666667	8203.125	9398.438	8531.250	
