Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.010666667	0.138666667	22851.562	24000.000	23343.750	
2	Spectrogram 1	1	0.010666667	0.224000000	3304.688	3937.500	3937.500	
3	Spectrogram 1	1	0.309333333	0.469333333	3164.062	3539.062	3375.000	
4	Spectrogram 1	1	0.725333333	0.896000000	3164.062	3562.500	3375.000	
5	Spectrogram 1	1	0.789333333	1.269333333	5554.688	6375.000	5718.750	
6	Spectrogram 1	1	1.045333333	1.386666667	2273.438	3539.062	3468.750	Dendropsophus_microcephalus
7	Spectrogram 1	1	1.664000000	2.026666667	6398.438	6726.562	6656.250	
8	Spectrogram 1	1	1.898666667	2.272000000	3234.375	3914.062	3468.750	
9	Spectrogram 1	1	1.973333333	2.069333333	9445.312	10007.812	9656.250	
10	Spectrogram 1	1	2.080000000	2.389333333	5531.250	6398.438	5812.500	
11	Spectrogram 1	1	2.112000000	2.293333333	2507.812	3070.312	2906.250	Dendropsophus_microcephalus
12	Spectrogram 1	1	2.549333333	3.296000000	5554.688	6375.000	5812.500	
13	Spectrogram 1	1	2.933333333	3.274666667	2507.812	3656.250	3562.500	Dendropsophus_microcephalus
14	Spectrogram 1	1	2.997333333	3.114666667	867.188	1289.062	937.500	
15	Spectrogram 1	1	3.178666667	3.616000000	22640.625	24000.000	23156.250	
16	Spectrogram 1	1	3.477333333	3.637333333	3281.250	3609.375	3562.500	
17	Spectrogram 1	1	3.680000000	4.149333333	5531.250	5976.562	5531.250	
18	Spectrogram 1	1	4.042666667	4.138666667	23156.250	24000.000	23437.500	
19	Spectrogram 1	1	4.490666667	5.024000000	2531.250	3656.250	3468.750	Dendropsophus_microcephalus
20	Spectrogram 1	1	4.618666667	4.704000000	23156.250	24000.000	23437.500	
21	Spectrogram 1	1	4.853333333	5.056000000	820.312	1640.625	937.500	
22	Spectrogram 1	1	4.874666667	5.045333333	3304.688	3726.562	3468.750	
23	Spectrogram 1	1	5.216000000	5.578666667	5578.125	5976.562	5625.000	
24	Spectrogram 1	1	5.962666667	6.122666667	3304.688	3843.750	3562.500	
25	Spectrogram 1	1	6.112000000	6.346666667	23062.500	23859.375	23250.000	
26	Spectrogram 1	1	6.293333333	6.848000000	5531.250	6375.000	5812.500	
27	Spectrogram 1	1	6.346666667	6.784000000	2367.188	3679.688	3562.500	Dendropsophus_microcephalus
28	Spectrogram 1	1	6.773333333	7.082666667	6492.188	6867.188	6656.250	
29	Spectrogram 1	1	6.784000000	6.922666667	3281.250	3750.000	3562.500	
30	Spectrogram 1	1	7.146666667	7.285333333	3304.688	3679.688	3562.500	
31	Spectrogram 1	1	7.434666667	8.064000000	5554.688	6281.250	5625.000	
32	Spectrogram 1	1	7.520000000	7.669333333	3281.250	3703.125	3562.500	
33	Spectrogram 1	1	7.882666667	8.021333333	3257.812	3656.250	3562.500	
34	Spectrogram 1	1	8.213333333	8.394666667	3234.375	3750.000	3562.500	
35	Spectrogram 1	1	8.426666667	8.896000000	22242.188	24000.000	22781.250	
36	Spectrogram 1	1	8.682666667	8.842666667	3281.250	3703.125	3562.500	
37	Spectrogram 1	1	8.778666667	9.344000000	5507.812	6351.562	5812.500	
38	Spectrogram 1	1	8.896000000	9.344000000	2507.812	3726.562	3562.500	Dendropsophus_microcephalus
39	Spectrogram 1	1	9.770666667	10.293333333	5601.562	5976.562	5718.750	
40	Spectrogram 1	1	10.229333333	10.378666667	3281.250	3703.125	3562.500	
41	Spectrogram 1	1	10.368000000	10.624000000	6304.688	6726.562	6656.250	
42	Spectrogram 1	1	11.040000000	11.498666667	5601.562	6023.438	5625.000	
43	Spectrogram 1	1	11.082666667	11.221333333	3304.688	3703.125	3562.500	
44	Spectrogram 1	1	11.509333333	11.754666667	23109.375	23789.062	23437.500	
45	Spectrogram 1	1	12.138666667	12.320000000	2437.500	3187.500	2906.250	Dendropsophus_microcephalus
46	Spectrogram 1	1	12.149333333	12.757333333	5578.125	6375.000	5906.250	
47	Spectrogram 1	1	13.066666667	13.322666667	3515.625	3937.500	3843.750	
48	Spectrogram 1	1	13.258666667	13.877333333	2343.750	3257.812	3000.000	Dendropsophus_microcephalus
49	Spectrogram 1	1	13.269333333	13.920000000	5531.250	6820.312	6093.750	
50	Spectrogram 1	1	14.229333333	14.453333333	3656.250	3984.375	3937.500	
51	Spectrogram 1	1	14.730666667	15.114666667	5554.688	5976.562	5625.000	
52	Spectrogram 1	1	15.456000000	15.712000000	23085.938	23765.625	23343.750	
53	Spectrogram 1	1	15.605333333	15.872000000	3562.500	3960.938	3937.500	
54	Spectrogram 1	1	16.085333333	16.490666667	5531.250	5976.562	5531.250	
55	Spectrogram 1	1	16.821333333	16.938666667	867.188	1382.812	937.500	
56	Spectrogram 1	1	17.354666667	17.706666667	5601.562	5976.562	5625.000	
57	Spectrogram 1	1	17.781333333	17.994666667	5601.562	6351.562	5812.500	
58	Spectrogram 1	1	17.973333333	18.122666667	7312.500	7710.938	7406.250	
59	Spectrogram 1	1	18.613333333	19.338666667	5554.688	6375.000	6093.750	
60	Spectrogram 1	1	19.797333333	20.256000000	5578.125	6023.438	5625.000	
61	Spectrogram 1	1	20.864000000	21.333333333	5625.000	6023.438	5625.000	
62	Spectrogram 1	1	21.738666667	22.186666667	2484.375	3328.125	3000.000	Dendropsophus_microcephalus
63	Spectrogram 1	1	21.760000000	22.389333333	5578.125	6375.000	5812.500	
64	Spectrogram 1	1	22.496000000	22.581333333	843.750	1476.562	937.500	
65	Spectrogram 1	1	23.072000000	23.178666667	23179.688	23671.875	23437.500	
66	Spectrogram 1	1	23.072000000	23.445333333	5601.562	6000.000	5718.750	
67	Spectrogram 1	1	23.616000000	23.733333333	23179.688	24000.000	23437.500	
68	Spectrogram 1	1	24.245333333	25.280000000	5531.250	6398.438	5812.500	
69	Spectrogram 1	1	24.426666667	24.576000000	867.188	1593.750	937.500	
70	Spectrogram 1	1	24.704000000	25.258666667	2437.500	3375.000	2812.500	Dendropsophus_microcephalus
71	Spectrogram 1	1	25.493333333	25.888000000	5601.562	6023.438	5625.000	
72	Spectrogram 1	1	25.749333333	25.909333333	843.750	2273.438	1312.500	
73	Spectrogram 1	1	26.741333333	27.157333333	5625.000	6000.000	5625.000	
74	Spectrogram 1	1	27.221333333	27.434666667	6492.188	6796.875	6750.000	
75	Spectrogram 1	1	27.861333333	28.234666667	5531.250	5953.125	5625.000	
76	Spectrogram 1	1	28.864000000	29.653333333	21867.188	24000.000	23156.250	
77	Spectrogram 1	1	29.109333333	29.674666667	5554.688	6281.250	5812.500	
