Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Event
1	Spectrogram 1	1	0.010666667	0.181333333	3164.062	5789.062	3187.500	
2	Spectrogram 1	1	0.234666667	0.832000000	1898.438	2554.688	2437.500	Pitangus_sulphuratus
3	Spectrogram 1	1	1.098666667	1.248000000	1710.938	2343.750	1921.875	
4	Spectrogram 1	1	1.568000000	1.717333333	1804.688	2484.375	2015.625	
5	Spectrogram 1	1	1.845333333	3.104000000	1429.688	2765.625	2390.625	
6	Spectrogram 1	1	3.221333333	4.266666667	1289.062	2835.938	2531.250	
7	Spectrogram 1	1	4.554666667	4.864000000	3351.562	5859.375	5296.875	
8	Spectrogram 1	1	4.554666667	4.842666667	1382.812	2765.625	2625.000	
9	Spectrogram 1	1	6.240000000	6.378666667	3210.938	3796.875	3468.750	
10	Spectrogram 1	1	6.506666667	6.890666667	2039.062	2554.688	2437.500	Pitangus_sulphuratus
11	Spectrogram 1	1	7.018666667	9.205333333	1570.312	6000.000	3656.250	
12	Spectrogram 1	1	9.280000000	10.410666667	1054.688	6093.750	3328.125	Crotophaga_ani
13	Spectrogram 1	1	10.912000000	13.184000000	1078.125	6000.000	3328.125	Crotophaga_ani
14	Spectrogram 1	1	11.637333333	11.893333333	1453.125	2789.062	2765.625	
15	Spectrogram 1	1	12.586666667	12.725333333	8859.375	9328.125	9046.875	
16	Spectrogram 1	1	14.549333333	15.520000000	726.562	6046.875	3328.125	Crotophaga_ani
17	Spectrogram 1	1	16.309333333	16.554666667	4898.438	5484.375	5109.375	
18	Spectrogram 1	1	16.789333333	17.653333333	3492.188	5789.062	5390.625	
19	Spectrogram 1	1	20.192000000	20.330666667	1687.500	2226.562	2015.625	
20	Spectrogram 1	1	20.949333333	21.461333333	1617.188	2578.125	2250.000	
21	Spectrogram 1	1	21.088000000	22.048000000	3257.812	4476.562	3515.625	
22	Spectrogram 1	1	21.909333333	22.090666667	1312.500	2367.188	1640.625	
23	Spectrogram 1	1	22.229333333	22.421333333	1757.812	2390.625	1921.875	
24	Spectrogram 1	1	22.933333333	23.104000000	1828.125	2250.000	2062.500	
25	Spectrogram 1	1	25.610666667	26.058666667	3164.062	5742.188	3281.250	
26	Spectrogram 1	1	25.632000000	25.909333333	1687.500	2906.250	2625.000	
27	Spectrogram 1	1	26.208000000	26.560000000	3257.812	5882.812	3750.000	
28	Spectrogram 1	1	26.208000000	26.538666667	1617.188	2789.062	2437.500	
29	Spectrogram 1	1	27.221333333	27.402666667	4898.438	5601.562	5484.375	
30	Spectrogram 1	1	27.626666667	28.736000000	3632.812	5531.250	3750.000	
31	Spectrogram 1	1	28.821333333	29.034666667	3257.812	4218.750	3609.375	
32	Spectrogram 1	1	29.568000000	30.144000000	187.500	515.625	187.500	
33	Spectrogram 1	1	29.984000000	30.656000000	3468.750	5789.062	3468.750	Crotophaga_ani
34	Spectrogram 1	1	30.154666667	30.666666667	3140.625	4054.688	3328.125	
35	Spectrogram 1	1	32.533333333	32.746666667	4968.750	5765.625	5437.500	
36	Spectrogram 1	1	32.853333333	33.920000000	3609.375	5554.688	5437.500	
37	Spectrogram 1	1	36.266666667	37.749333333	3210.938	5296.875	3515.625	
38	Spectrogram 1	1	38.293333333	39.040000000	1078.125	5765.625	1828.125	Crotophaga_ani
39	Spectrogram 1	1	40.469333333	40.768000000	234.375	726.562	281.250	
40	Spectrogram 1	1	41.141333333	41.482666667	3210.938	5718.750	3890.625	
41	Spectrogram 1	1	41.152000000	41.440000000	1546.875	2859.375	2625.000	
42	Spectrogram 1	1	41.194666667	41.792000000	187.500	515.625	187.500	
43	Spectrogram 1	1	41.621333333	41.888000000	4500.000	5625.000	5437.500	
44	Spectrogram 1	1	41.781333333	42.229333333	2179.688	2601.562	2484.375	Pitangus_sulphuratus
45	Spectrogram 1	1	42.080000000	43.104000000	3562.500	5460.938	5015.625	
46	Spectrogram 1	1	42.218666667	42.794666667	164.062	539.062	187.500	
47	Spectrogram 1	1	42.506666667	42.656000000	1875.000	2484.375	2250.000	
48	Spectrogram 1	1	42.965333333	43.125333333	1757.812	2484.375	2437.500	
49	Spectrogram 1	1	43.296000000	43.445333333	1710.938	2343.750	2250.000	
50	Spectrogram 1	1	44.202666667	45.013333333	140.625	445.312	140.625	
51	Spectrogram 1	1	44.298666667	46.176000000	773.438	6023.438	3515.625	Crotophaga_ani
52	Spectrogram 1	1	45.248000000	45.770666667	187.500	539.062	234.375	
